"block","block_index","event_type","is_speech","latency_ms","relative_time","stop_cue_index","timestamp","trial_instance_id","trial_number"
"block0","0","speech_end","","","0.0","","1.405999999999949","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","5.375","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","8.875","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","13.561999999999898","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","17.311999999999898","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","21.98400000000038","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","26.53099999999995","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","31.35900000000038","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","36.60900000000038","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","41.20300000000043","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","46.57800000000043","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","51.29600000000028","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","56.21799999999985","namdar_01_block0_005","0"
"block1","1","speech_start","","","0.0","","1.7029999999995198","namdar_01_block1_000","0"
"block1","1","speech_end","","","0.0","","2.764999999999418","namdar_01_block1_000","0"
"block1","1","speech_start","","","0.0","","2.858999999999469","namdar_01_block1_000","0"
